date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,roc,sma,ema,rsi,obv,MACD_Hist,MACD,MACD_Signal,SlowK,SlowD,adx,cci,Aroon Down,Aroon Up,Real Lower Band,Real Middle Band,Real Upper Band,ad,shifted_ROC_BOOL
2000-02-09,41.38,42.38,40.5,42.06,21.03,3906800.0,0.0,1.0,1.6433,20.231,20.2495,77.3345,78764800.0,0.1039,1.0963,0.9924,95.0336,90.2988,49.5965,99.7414,0.0,100.0,18.826,20.231,21.636,98891736.3391,1
2000-02-10,42.06,42.75,41.31,42.5,21.25,3186800.0,0.0,1.0,1.0461,20.581,20.583,79.2327,85138400.0,0.1342,1.1601,1.0259,93.2299,91.9523,54.3026,100.4902,0.0,100.0,19.2072,20.581,21.9548,103052280.7835,1
2000-02-11,42.75,45.5,41.81,45.5,22.75,7466700.0,0.0,1.0,7.0588,21.275,21.3053,87.8822,100071800.0,0.2325,1.3165,1.084,96.439,94.9008,60.5147,145.9485,20.0,100.0,19.7354,21.275,22.8146,117985680.7835,0
2000-02-14,44.81,45.5,42.13,43.25,21.625,4372600.0,0.0,1.0,-4.9451,21.469,21.4119,63.2035,91326600.0,0.2002,1.3343,1.1341,86.3104,91.9931,65.4844,64.6013,0.0,100.0,20.0512,21.469,22.8868,115053314.018,1
2000-02-15,43.5,44.75,42.38,43.5,21.75,4336900.0,0.0,1.0,0.578,21.681,21.5246,64.5848,100000400.0,0.1672,1.3431,1.1759,74.7808,85.8434,69.4601,35.784,0.0,80.0,20.4943,21.681,22.8677,114577535.9589,1
2000-02-16,43.75,45.19,43.38,43.75,21.875,3789900.0,0.0,1.0,0.5747,21.85,21.6414,66.172,107580200.0,0.1349,1.3446,1.2096,60.8587,73.9833,73.0053,68.4597,0.0,60.0,20.8575,21.85,22.8425,110096659.7158,0
2000-02-17,44.19,44.19,42.13,43.0,21.5,2721300.0,0.0,1.0,-1.7143,21.9,21.5943,56.6506,102137600.0,0.0727,1.3005,1.2278,50.1611,61.9335,64.3599,-113.6198,0.0,40.0,21.014,21.9,22.786,109251207.2886,1
2000-02-18,42.38,43.63,40.0,43.0,21.5,3225500.0,0.0,1.0,0.0,21.65,21.5628,56.6506,102137600.0,0.0187,1.2512,1.2325,48.3429,53.1209,55.7882,-139.9125,100.0,20.0,21.3585,21.65,21.9415,113463017.206,0
2000-02-22,40.25,42.44,39.63,41.81,20.905,2711300.0,0.0,1.0,-2.7674,21.506,21.3436,41.7554,96715000.0,-0.0653,1.1508,1.2162,42.0011,46.835,50.1713,-118.045,100.0,0.0,20.8385,21.506,22.1735,116454131.085,0
2000-02-23,41.69,41.94,41.06,41.06,20.53,1465200.0,0.0,1.0,-1.7938,21.262,21.0724,34.5903,93784600.0,-0.1496,1.0291,1.1787,39.8245,43.3895,45.6778,-74.1103,80.0,20.0,20.3019,21.262,22.2221,113523731.085,1
